educ,economycode,pop_adult,wgt,female,age,inc_q,emp_in,urbanicity,account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,pay_utilities,fin19,fin22a,fin24a,fin24c,fh2a,fh1,fh2,fin37,fin38,fin42,internet_use,con1,Income group
2.0,MDG,18851036,0.633516720632233,1,17,4.0,2.0,1.0,0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2,Low income
1.0,MAR,27893979,1.24359326237885,2,50,5.0,1.0,1.0,1,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,ETH,78031387,0.770017146266132,2,22,2.0,1.0,1.0,1,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0,1,Low income
1.0,BGD,122837439,0.579981299244146,1,27,5.0,2.0,2.0,1,0.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,BIH,2764009,1.2965884554376,2,25,4.0,1.0,1.0,1,1.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,THA,60882768,0.343204035871707,1,56,1.0,1.0,1.0,1,1.0,1.0,4.0,3.0,4.0,2.0,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1,1,Upper middle income
3.0,ZMB,12029200,0.410880342420463,1,74,5.0,2.0,2.0,1,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0,1,Lower middle income
2.0,ECU,13484219,0.357462881372965,2,22,1.0,1.0,1.0,0,1.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Upper middle income
1.0,CHN,1176678702,2.56037496127535,2,63,4.0,,2.0,1,0.0,1.0,,,,,2.0,2.0,3.0,2.0,,,,,,,1,1,Upper middle income
2.0,GIN,8464230,0.907397200029422,2,27,5.0,2.0,1.0,1,1.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,Lower middle income
2.0,ARM,2406318,0.417135004282565,1,49,4.0,2.0,1.0,0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1,Upper middle income
